"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bello, Brayan","678394","2024","199",22.1,7.5,".314",".319",33.6,7.3,41.6,"75.231111471","94.436820662",26.1,46.1
"Detmers, Reid","672282","2024","277",25.3,9.7,".350",".302",29.8,9,36.5,"79.368156023","93.571527045",29.5,49.3
"Yamamoto, Yoshinobu","808967","2024","268",28.4,5.2,".289",".294",34.5,8.5,45.2,"77.191306364","94.969186686",27,48.8
"King, Michael","650633","2024","282",26.2,10.3,".315",".324",34.6,8.4,35.2,"74.82043625","93.348716591",28.7,44.4
"Miller, Bryce","682243","2024","276",25.7,6.9,".265",".322",37.6,12.9,45.2,"81.515641935","94.722176989",25.6,49.5
"Sale, Chris","519242","2024","269",30.5,3.7,".255",".266",32.4,4.6,30.6,"72.921085357","92.992521607",30.3,51.8
"Eovaldi, Nathan","543135","2024","182",25.3,10.4,".297",".300",31.6,5.3,42.1,"78.397493393","94.209618929",30.6,48.3
"Webb, Logan","657277","2024","327",20.5,6.1,".290",".345",31.9,8,53.4,"79.869235798","96.43296042",18.7,44.6
"Suárez, Ranger","624133","2024","277",28.5,5.8,".221",".252",31.3,4.5,31.8,"72.561607191","93.102002316",24.6,47.8
"Houck, Tanner","656557","2024","311",24.1,4.8,".233",".294",29.6,4.2,43.1,"79.567185701","94.43160972",24,48
"Canning, Griffin","656288","2024","249",16.5,9.2,".353",".357",36.8,9.3,42.9,"81.833892967","95.275785304",22.7,47.9
"Kirby, George","669923","2024","279",23.3,2.2,".290",".303",34.3,8.8,34.8,"76.821201176","93.561006108",23.2,54.2
"Bibee, Tanner","676440","2024","270",25.6,6.7,".307",".314",35.6,8.3,35.6,"78.948560449","93.655966067",27.6,50.1
"Ashcraft, Graham","668933","2024","263",17.9,8,".344",".337",30.5,8.4,45.3,"81.324054842","94.765216402",22.3,49.1
